"","SUNY at Buffalo  - North Campus","","","","",""
"","Building Utilities Cost & Consumption Report","","","","",""
"","Accounting Period: July 2013 to June 2014","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Building Code","Building Name","Use","Demand","Cost","Cost/Unit","Notes"
"","","","","","",""
"03-ALUMNI-A480","ALUMNI ARENA","391,865 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","446978","1287.46","33433.5316","0.074799054092148",""
"","","","","","",""
"","Aug","485999","1404.83","29504.0765","0.060708101251237",""
"","","","","","",""
"","Sep","520271","1574.92","32916.1918","0.063267396798976",""
"","","","","","",""
"","Oct","610492","1868.08","35865.9308","0.058749223249445",""
"","","","","","",""
"","Nov","735911","1993.65","49379.4031","0.067099694256507",""
"","","","","","",""
"","Dec","872928","2100.82","56212.2839","0.064395097762931",""
"","","","","","",""
"","Jan","1136913","2542.89","134987.8824","0.1187319367445",""
"","","","","","",""
"","Feb","981521","2421.07","88795.6928","0.090467440635503",""
"","","","","","",""
"","Mar","931129","2407.16","82756.2404","0.088877309588682",""
"","","","","","",""
"","Apr","637016","1881.99","46515.3684","0.073020722242455",""
"","","","","","",""
"","May","585630","1850.89","51432.2826","0.087823852261667",""
"","","","","","",""
"","Jun","449824","1381.99","35800.2713","0.079587285916269",""
"","","","","","",""
"","","8394612","","677599.1556","0.080718341193137",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","1587","","906.2248","0.57103011972275",""
"","","","","","",""
"","Aug","2078","","1140.5011","0.54884557266603",""
"","","","","","",""
"","Sep","4000","","2118.0577","0.529514425",""
"","","","","","",""
"","Oct","4648","","2412.0132","0.51893571428571",""
"","","","","","",""
"","Nov","5827","","2888.5159","0.49571235627252",""
"","","","","","",""
"","Dec","7784","","4141.3904","0.53203884892086",""
"","","","","","",""
"","Jan","7386","","4172.12","0.56486867045762",""
"","","","","","",""
"","Feb","7172","","4391.7983","0.61235336029002",""
"","","","","","",""
"","Mar","6805","","3964.0824","0.58252496693608",""
"","","","","","",""
"","Apr","4733","","2938.3123","0.62081392351574",""
"","","","","","",""
"","May","3524","","2196.601","0.62332604994325",""
"","","","","","",""
"","Jun","2153","","1381.0426","0.64145034835114",""
"","","","","","",""
"","","57697","","32650.6597","0.56589874170234",""
"Buidling Total Cost","Buidling Total Cost","","","710249.8153","",""
"","","","","","",""
"03-BAIRD-A460","BAIRD HALL","85,580 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","85958","","6429.58","0.074799087926662",""
"","","","","","",""
"","Aug","80782","","4910.4","0.060785818622961",""
"","","","","","",""
"","Sep","81809","","5312.07","0.064932586879194",""
"","","","","","",""
"","Oct","136185","","8182.84","0.060086206263539",""
"","","","","","",""
"","Nov","214386","","15269.15","0.071222701109214",""
"","","","","","",""
"","Dec","258736","","17558.67","0.067863266031785",""
"","","","","","",""
"","Jan","299452","","37007.83","0.12358518226627",""
"","","","","","",""
"","Feb","278735","","26298.95","0.094351086157103",""
"","","","","","",""
"","Mar","272994","","25478.23","0.093328901001487",""
"","","","","","",""
"","Apr","173001","","12879.53","0.074447719955376",""
"","","","","","",""
"","May","106856","","9430.61","0.088255315564872",""
"","","","","","",""
"","Jun","79017","","6288.8","0.079587936773099",""
"","","","","","",""
"","","2067911","","175046.66","0.084649029866372",""
"Buidling Total Cost","Buidling Total Cost","","","175046.66","",""
"","","","","","",""
"03-BAKER-A200","CW Plant & Bldg","38,284 SQFEET ","","","",""
"","Supplies Chilled Water to North Campus","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","2573738.462","421.2","184798.4206","0.071801553781963"," Lower electric unit cost due to energy served by Solar Panel free energy"
"","","","","","",""
"","Aug","2005888.468","427.74","115560.0347","0.057610398854938",""
"","","","","","",""
"","Sep","1251026.204","412.96","75345.7866","0.060227184977494",""
"","","","","","",""
"","Oct","831359.374","410.6","45997.8049","0.055328425153476",""
"","","","","","",""
"","Nov","181824.17","194.18","10422.24","0.057320432151567",""
"","","","","","",""
"","Dec","147285.432","177.9","8949.3379","0.060761867473763",""
"","","","","","",""
"","Jan","168339.436","182.93","17364.2626","0.10315029569185",""
"","","","","","",""
"","Feb","177568.282","169.92","13127.7499","0.073930714157611",""
"","","","","","",""
"","Mar","151398.132","164.23","7625.8224","0.050369329523828",""
"","","","","","",""
"","Apr","281871.4","232.3","14200.7071","0.050380092127119",""
"","","","","","",""
"","May","801574.58","420.96","61138.6469","0.076273185833812",""
"","","","","","",""
"","Jun","1920349.568","431.87","144312.564","0.075149111601748",""
"","","","","","",""
"","","10492223.508","","698843.3776","0.066605841656647",""
"Buidling Total Cost","Buidling Total Cost","","","698843.3776","",""
